productType,price,sqft,rooms,bathrooms,location,pricePerSqft,latitude,longitude
Apartment,2600000,1188,2,3,Mohammed Bin Rashid City,2188.5521885521885,25.155844,55.285115
Apartment,580000,413,0,1,Arjan,1404.358353510896,25.062746030612,55.235634915344
Apartment,3399900,1204,2,2,Downtown Dubai,2823.8372093023254,25.194700153397,55.270680965444
Residence,36000000,8528,4,5,Downtown Dubai,4221.388367729831,25.198443,55.270758
Apartment,1800000,1629,2,3,Arjan,1104.9723756906078,25.06774,55.235095
Apartment,1785000,717,1,1,Dubai Hills Estate,2489.539748953975,25.123709,55.260482
Apartment,1870000,930,2,2,Jumeirah Village Circle (JVC),2010.752688172043,25.053247653198,55.211658896955
Apartment,3000000,1660,3,4,The Views,1807.2289156626507,25.087123,55.173187
House,11500000,5000,5,5,The Meadows,2300.0,25.068614507964,55.151990791493
Apartment,3700000,1413,2,2,Downtown Dubai,2618.5421089879687,25.19236269086,55.270098052751
Apartment,1700000,1406,2,3,Jumeirah Lake Towers (JLT),1209.1038406827881,25.078233,55.153969
House,4200000,2015,4,3,Mohammed Bin Rashid City,2084.367245657568,25.123809287025,55.340599204741
House,5250000,3650,5,6,The Villa,1438.3561643835617,25.087626942553,55.362073382598
Apartment,670000,938,1,2,Jumeirah Village Circle (JVC),714.2857142857143,25.053240947134,55.207636279943
House,7250000,4401,5,5,Arabian Ranches,1647.3528743467393,25.056578065433,55.285305489001
